iter	Passed	Remaining
727	1300	485
728	1301	483
729	1302	481
730	1304	479
731	1305	477
732	1307	476
733	1309	474
734	1311	472
735	1313	471
736	1314	469
737	1315	466
738	1316	464
739	1317	462
740	1318	460
741	1319	458
742	1322	457
743	1324	455
744	1325	453
745	1326	451
746	1328	449
747	1329	447
748	1330	445
749	1331	443
750	1332	441
751	1334	439
752	1336	438
753	1338	436
754	1339	434
755	1340	432
756	1342	430
757	1343	428
758	1344	426
759	1345	425
760	1347	423
761	1348	421
762	1350	419
763	1352	417
764	1353	415
765	1354	413
766	1356	412
767	1357	410
768	1358	408
769	1359	406
770	1360	404
771	1361	402
772	1363	400
773	1365	398
774	1367	396
775	1368	395
776	1369	393
777	1370	391
778	1372	389
779	1374	387
780	1375	385
781	1376	383
782	1377	381
783	1380	380
784	1382	378
785	1383	376
786	1385	375
787	1387	373
788	1389	371
789	1390	369
790	1391	367
791	1393	365
792	1395	364
793	1396	362
794	1398	360
795	1399	358
796	1400	356
797	1402	354
798	1403	353
799	1404	351
800	1405	349
801	1406	347
802	1409	345
803	1411	344
804	1413	342
805	1414	340
806	1415	338
807	1416	336
808	1418	334
809	1419	332
810	1420	330
811	1421	329
812	1422	327
813	1425	325
814	1426	323
815	1428	322
816	1429	320
817	1430	318
818	1431	316
819	1432	314
820	1434	312
821	1435	310
822	1436	308
823	1438	307
824	1440	305
825	1442	303
826	1443	301
827	1444	300
828	1445	298
829	1446	296
830	1447	294
831	1449	292
832	1450	290
833	1451	289
834	1454	287
835	1455	285
836	1457	283
837	1458	281
838	1459	280
839	1460	278
840	1462	276
841	1463	274
842	1464	272
843	1465	270
844	1468	269
845	1470	267
846	1471	265
847	1472	263
848	1474	262
849	1475	260
850	1476	258
851	1477	256
852	1478	254
853	1479	253
854	1481	251
855	1483	249
856	1484	247
857	1486	246
858	1487	244
859	1488	242
860	1490	240
861	1491	238
862	1492	236
863	1493	235
864	1494	233
865	1496	231
866	1498	229
867	1499	228
868	1500	226
869	1502	224
870	1503	222
871	1504	220
872	1505	218
873	1506	217
874	1507	215
875	1508	213
876	1511	211
877	1512	210
878	1514	208
879	1515	206
880	1517	205
881	1519	203
882	1520	201
883	1521	199
884	1522	197
885	1523	196
886	1525	194
887	1527	192
888	1528	190
889	1529	189
890	1530	187
891	1531	185
892	1533	183
893	1534	181
894	1535	180
895	1536	178
896	1537	176
897	1538	174
898	1541	173
899	1542	171
900	1543	169
901	1544	167
902	1545	166
903	1547	164
904	1548	162
905	1549	160
906	1550	158
907	1551	157
908	1552	155
909	1555	153
910	1556	152
911	1558	150
912	1559	148
913	1560	146
914	1562	145
915	1563	143
916	1564	141
917	1565	139
918	1566	138
919	1567	136
920	1569	134
921	1571	132
922	1572	131
923	1573	129
924	1574	127
925	1576	125
926	1577	124
927	1578	122
928	1579	120
929	1580	118
930	1581	117
931	1582	115
932	1585	113
933	1586	112
934	1587	110
935	1588	108
936	1590	106
937	1591	105
938	1592	103
939	1593	101
940	1594	99
941	1595	98
942	1596	96
943	1598	94
944	1600	93
945	1601	91
946	1602	89
947	1604	87
948	1605	86
949	1606	84
950	1607	82
951	1608	81
952	1609	79
953	1610	77
954	1611	75
955	1614	74
956	1615	72
957	1617	70
958	1619	69
959	1620	67
960	1621	65
961	1622	64
962	1623	62
963	1624	60
964	1626	58
965	1628	57
966	1629	55
967	1630	53
968	1632	52
969	1633	50
970	1634	48
971	1635	47
972	1636	45
973	1637	43
974	1638	42
975	1640	40
976	1641	38
977	1643	36
978	1645	35
979	1646	33
980	1647	31
981	1649	30
982	1651	28
983	1652	26
984	1654	25
985	1655	23
986	1656	21
987	1658	20
988	1659	18
989	1660	16
990	1661	15
991	1662	13
992	1664	11
993	1665	10
994	1666	8
995	1668	6
996	1669	5
997	1670	3
998	1672	1
999	1673	0
